age_group,cases,deaths,source
0,27,0,https://experience.arcgis.com/experience/09f821667ce64bf7be6f9f87457ed9aa
10,117,0,
20,314,1,
30,362,0,
40,544,0,
50,768,8,
60,592,6,
70,575,34,
80,510,65,
90,216,32,
