age_group,cases,deaths,source
0,25,0,https://experience.arcgis.com/experience/09f821667ce64bf7be6f9f87457ed9aa
10,115,0,
20,302,0,
30,336,0,
40,509,0,
50,710,4,
60,533,4,
70,526,27,
80,451,53,
90,191,22,
